Date,Open,High,Low,Close
2010-07-31,0.08584,0.09307,0.05,0.0627
2010-08-31,0.0611,0.0769,0.057,0.06
2010-09-30,0.06,0.064,0.059,0.0619
2010-10-31,0.0619,0.191,0.06081,0.19
2010-11-30,0.1925,0.37,0.172,0.2082
2010-12-31,0.2082,0.301,0.1701,0.3
2011-01-31,0.29997,0.95,0.289,0.52
2011-02-28,0.52,1.1,0.52,0.86
2011-03-31,0.86,0.97,0.71,0.7846
2011-04-30,0.7846,2.95,0.5619,2.88
2011-05-31,3.0331,9.4998,3.029,8.741
2011-06-30,8.741,31.91,8.3,16.101
2011-07-31,16.101,16.74,11,13.498
2011-08-31,13.35,13.55,7.055,8.1995
2011-09-30,8.1995,8.7138,4.18,5.1401
2011-10-31,5.027,5.0399,2.0401,3.248
2011-11-30,3.248,3.44,1.994,2.9701
2011-12-31,2.9701,4.5,2.7807,4.248
2012-01-31,5.2677,7.22,4.64,5.4838
2012-02-29,5.4838,6.2,3.878,4.86
2012-03-31,4.86,5.45,4.49,4.86
2012-04-30,4.827,5.48,4.73,4.9491
2012-05-31,4.9491,5.2,4.801,5.1801
2012-06-30,5.1801,6.8,5.18,6.65
2012-07-31,6.629,9.49,6.4,9.35
2012-08-31,9.35,15.4,7.8101,10.16
2012-09-30,10.204,12.687,10.089,12.391
2012-10-31,12.4,13.09,9.74,11.201
2012-11-30,11.201,12.652,10.33,12.565
2012-12-31,12.5,13.901,12.476,13.51
2013-01-31,13.51,21.43,13.161,20.41
2013-02-28,20.41,34.515,19.855,33.38
2013-03-31,33.38,95.7,32.92,90.5
2013-04-30,93.03,266,50.01,138.38
2013-05-31,138.31,141.74,79.131,127.4
2013-06-30,119.9,123.98,92.333,95.399
2013-07-31,97.317,111.65,65.513,107.75
2013-08-31,107.7,142.75,100.96,136.01
2013-09-30,145.7,148,123,141.32
2013-10-31,141.32,233.14,109.71,211.37
2013-11-30,213.34,1241.62,209.76,1157.94
2013-12-31,1019.99,1239.93,418.66,753.52
2014-01-31,773.4,1017.19,757.12,822.57
2014-02-28,825.15,841.26,415.3,560.95
2014-03-31,555,702.89,442.48,453.37
2014-04-30,455.29,543.33,344.22,445.87
2014-05-31,445.38,612.67,418.03,608.79
2014-06-30,641.93,675.72,558.6,636.86
2014-07-31,636.5,654.75,559.63,584.22
2014-08-31,584.18,601.83,435.6,508.7
2014-09-30,481.44,494.05,369.13,386.01
2014-10-31,385.88,409.74,301.29,340.06
2014-11-30,324.62,458.04,320.94,378.57
2014-12-31,377.06,383.72,304.25,316.89
2015-01-31,314.73,315.57,170.09,229.65
2015-02-28,227.68,257.51,214.66,254.38
2015-03-31,258.34,300.34,236.04,245.014
2015-04-30,244.92,261.14,215.46,236.66
2015-05-31,236.28,245.91,228.85,237.2
2015-06-30,230.89,268.226,221.71,263.054
2015-07-31,263,310.29,252.29,285.19
2015-08-31,281.22,285.18,198.23,229.84
2015-09-30,229.84,245.82,224.6,236.647
2015-10-31,236.63,333.745,235.96,319.826
2015-11-30,324.72,492.39,298.75,378.243
2015-12-31,378.229,466.461,348.117,430.496
2016-01-31,429.258,463.951,363.636,375.235
2016-02-29,374.462,441.657,364.285,437.197
2016-03-31,436.967,438.539,402.414,416.095
2016-04-30,416.164,470.168,414.096,455.726
2016-05-31,452.755,546.866,435.616,527.232
2016-06-30,527.398,776.518,525.652,667.78
2016-07-31,667.735,684.791,611.471,657.333
2016-08-31,631.592,633.714,486.31,572.344
2016-09-30,572.279,628.733,568.861,605.62
2016-10-31,609.793,707.464,607.681,699.105
2016-11-30,699.35,752.049,673.718,741.84
2016-12-31,741.84,982.898,741.84,960.523
2017-01-31,999.7,1153,746.269,966.931
2017-02-28,967.024,1210.21,942.418,1192.75
2017-03-31,1192.61,1325.73,949.758,1076.89
2017-04-30,1100.72,1343.54,1097.33,1295
2017-05-31,1344.81,2791.74,1342.64,2307.34
2017-06-30,2305.21,3041.36,2185.79,2545.82
2017-07-31,2532.29,2946.38,1914.61,2872.74
2017-08-31,2870.26,4803.07,2670.23,4766.44
2017-09-30,4766.44,4892.37,2950.72,4166.67
2017-10-31,4344.05,6414.37,4151.1,6385.7
2017-11-30,6385.7,11377,5621.14,9803.92
2017-12-31,9813.54,19455,9425.07,14368
2018-01-31,13495,16556,9199.63,10081
2018-02-28,10070,11765,5948.84,10428
2018-03-31,10417,11655,6591.96,6816.63
2018-04-30,6825.94,9746.59,6514.66,9216.59
2018-05-31,9216.59,9794.32,7052.19,7547.17
2018-06-30,7547.17,7751.94,5800.46,5882.35
2018-07-31,6365.37,8481.76,6086.43,7710.1
2018-08-31,7710.1,7770.01,5899.71,7042.25
2018-09-30,7283.32,7401.92,6116.21,6675.57
2018-10-31,6565.99,6958.94,6127.45,6325.11
2018-11-30,6325.11,6553.08,3566.33,3974.56
2018-12-31,4137.36,4284.49,3191.83,3728.56
2019-01-31,3766.48,4135.65,3370.41,3450.66
2019-02-28,3450.66,4027.39,3370.41,3829.95
2019-03-31,3829.95,4128.82,3705.08,4101.72
2019-04-30,4115.23,5630.63,4079.97,5370.57
2019-05-31,5370.57,9090.91,5370.57,8431.7
2019-06-30,8710.8,13812,7468.26,12315
2019-07-31,11274,13175,9082.65,10050
2019-08-31,10050,12300,9345.79,9578.54
2019-09-30,9708.74,10929,7739.94,8271.3
2019-10-31,8264.46,9930.49,7336.76,9132.42
2019-11-30,9140.77,9541.98,6557.38,7757.95
2019-12-31,7401.92,7739.94,6459.95,7194.24
2020-01-31,7189.07,9560.23,6877.58,9310.99
2020-02-29,9389.67,10493,8445.95,8620.69
2020-03-31,8561.64,9182.74,3966.68,6459.95
2020-04-30,6459.95,9460.74,6172.84,8764.24
2020-05-31,8764.24,10050,8257.64,9398.5
2020-06-30,9460.74,10352,8912.66,9165.9
2020-07-31,9165.9,11452,8960.57,11328
2020-08-31,11137,12474,10956,11640
2020-09-30,11638,12055,9868.75,10709
2020-10-31,10708,13855,10394,13637
2020-11-30,13698,19842,13224,19484
2020-12-31,19490,29301,17605,29152
2021-01-31,33148,41946,28497,34569
2021-02-28,33007,57587,32343,46234
2021-03-31,45271,60716,44976,58962
2021-04-30,58948,64830,47535,57081
2021-05-31,56702,59581,30108,36885
2021-06-30,36967,41307,28945,34796
2021-07-31,34809,40871,29325,39920
2021-08-31,41093,50500,37350,46979
2021-09-30,46948,52904,39782,43752
2021-10-31,43758,66961,43311,62629
2021-11-30,61429,68946,53579,57330
2021-12-31,57346,59098,45568,47019
2022-01-31,47266,47569,33014,38438
2022-02-28,38432,45817,34373,43107
2022-03-31,42935,48181,37162,45775
2022-04-30,45767,47400,37746,38322
2022-05-31,38341,39974,25565,31672.9
2022-06-30,31682.3,31947.7,18655.4,18797.2
2022-07-31,18790.3,24414.5,18721.6,23908.8
2022-08-31,23582.4,25212.6,19538.2,20286.3
2022-09-30,20278.7,22739.8,18149.4,19473.3
2022-10-31,19190.9,21016.7,18197.2,20473.3
2022-11-30,20479.2,21293.2,15477.8,17158.1
2022-12-31,17153.7,18370.1,16265.6,16590.7
2023-01-31,16594.2,23875.1,16543.5,23181.8
2023-02-28,23181.9,25247.2,21389.2,23158.9
2023-03-31,23157.9,29187.3,19568.5,28441.6
2023-04-30,28027.4,31018.5,27075.8,29351.3
2023-05-31,29428,29672.8,25845.9,27095.1
2023-06-30,27095.6,31400.6,24760.3,30377.2
2023-07-31,30562.7,31818.7,28864.7,29238.3
2023-08-31,29238.3,30207.3,25201,25988.8
2023-09-30,26021.4,27484.5,24910.6,26918.5
2023-10-31,27177.1,35179,26541.3,34588.5
2023-11-30,34573.7,38422.2,34121,37744.5
2023-12-31,37705.6,44493,37618.7,42025.1
2024-01-31,43546.4,48976.3,38514.1,42620.4
2024-02-29,42632.2,64076.2,41851.5,61247.4
2024-03-31,61274.8,73671.3,60343.8,69655.3
2024-04-30,70876.2,72725.1,59113.8,60184.4
2024-05-31,60106.9,71957.4,56509.9,67658.9
2024-06-30,67776.8,71924.8,58495.2,60064
2024-07-31,61843.6,70020.6,53742.3,64927
2024-08-31,64962.4,65558.2,49060.2,58776.8
2024-09-30,58341,66469,53233.1,63686.5
2024-10-31,63686.5,73605.7,58867.1,70363
2024-11-30,70368.5,99668.1,66787.7,97373.8
2024-12-31,97647.6,108323,91309.1,93359.3
2025-01-31,94606.4,109118,89554.3,101597
2025-02-28,97930.7,102565,78222.1,84128.3
2025-03-31,94273.8,94805.6,76755.9,82586.6
2025-04-30,82522.5,95788.1,74445.1,94410.8
2025-05-31,94410.8,111981,93382,104584
2025-06-30,105533,110594,99206.3,107173
