Date,Open,High,Low,Close,Volume
1960-01-31,35.48,35.77,32.91,32.91,0
1960-02-29,33.12,33.63,32.38,33.19,0
1960-03-31,33.13,33.13,31.62,32.71,0
1960-04-30,32.76,33.43,32.11,32.11,0
1960-05-31,31.97,32.95,31.97,32.95,0
1960-06-30,32.98,34.22,32.98,33.57,0
1960-07-31,33.65,33.83,31.93,32.71,0
1960-08-31,32.73,34.2,32.25,33.54,0
1960-09-30,33.62,33.62,30.88,31.49,0
1960-10-31,31.4,32.27,30.7,31.39,0
1960-11-30,31.72,33.17,31.72,32.64,0
1960-12-31,32.49,34.12,32.49,34.12,0
1961-01-31,33.81,36.52,33.81,36.41,0
1961-02-28,36.49,37.52,36.09,37.52,0
1961-03-31,37.52,38.63,37.52,38.63,0
1961-04-30,38.96,40.86,38.35,38.92,0
1961-05-31,38.84,40.25,38.84,39.81,0
1961-06-30,39.82,40.15,38.69,38.82,0
1961-07-31,39.17,40.24,38.76,40.24,0
1961-08-31,40.61,41.37,40.36,41.2,0
1961-09-30,41.28,41.46,39.92,40.54,0
1961-10-31,40.57,41.85,40.55,41.85,0
1961-11-30,41.93,43.96,41.93,43.66,0
1961-12-31,43.95,44.53,43.5,43.97,0
1962-01-31,43.97,44.22,41.57,42.39,0
1962-02-28,42.39,43.84,42.22,43.15,0
1962-03-31,43.16,44.11,42.74,42.99,0
1962-04-30,42.99,43.16,40.22,40.4,0
1962-05-31,40.4,41.46,32.96,37,0
1962-06-30,37,37.21,31.91,34.04,0
1962-07-31,34.04,36.5,33.87,36.27,0
1962-08-31,36.28,37.64,35.38,36.91,0
1962-09-30,36.91,37.21,34.73,35.19,0
1962-10-31,35.2,36.19,32.92,35.42,0
1962-11-30,35.43,39.42,35.04,39.1,0
1962-12-31,39.1,39.91,38.48,39.7,0
1963-01-31,39.7,41.84,39.2,41.58,0
1963-02-28,41.65,42.02,40.19,40.33,0
1963-03-31,40.32,41.97,40.02,41.69,0
1963-04-30,41.69,43.88,41.48,43.65,0
1963-05-31,43.64,44.41,43.15,44.2,0
1963-06-30,44.2,44.47,42.88,43.24,0
1963-07-31,43.24,43.92,42.06,43.03,0
1963-08-31,43.02,45.18,42.72,45.05,0
1963-09-30,45.05,45.84,44.23,44.49,0
1963-10-31,44.49,46.58,44.4,45.85,0
1963-11-30,45.84,46.11,42.99,45.3,0
1963-12-31,45.3,46.55,45.17,46.34,0
1964-01-31,46.35,48.2,46.23,47.77,0
1964-02-29,47.78,48.71,47.38,48.41,0
1964-03-31,48.42,49.83,48.23,49.33,0
1964-04-30,49.34,50.88,49.15,49.83,0
1964-05-31,49.84,51.38,49.24,50.58,0
